NMLSID,Name,Street,City,State,Zip,IsCompany,LoanCount,LOs,LoanVolume_display,LoanVolume_raw
1839815,"NFM, Inc., Severna Park, MD Branch (NFM Lending)",479 Jumpers Hole Road,Severna Park,MD,21146,False,386,13,"$149,514,802",149514802
1844334,"NFM, Inc., Silver Spring, MD Branch (NFM Lending)",12501 Prosperity Drive,Silver Spring,MD,20904,False,61,4,"$32,766,728",32766728
1848250,"NFM, Inc., Allentown, PA Branch (NFM Lending)",122 North 5th Street,Allentown,PA,18102,False,0,0,$0,0
1858442,"NFM, Inc., Exton, PA Branch (NFM Lending)",686 Wharton Blvd,Exton,PA,19341,False,0,0,$0,0
1865165,"NFM, Inc., Greensboro, NC Branch (NFM Lending)",127 N. Greene Street,Greensboro,NC,27401,False,0,0,$0,0
1877199,"NFM, Inc., North Miami, FL Branch (NFM Lending)",999 NE 125th Street,North Miami,FL,33161,False,0,0,$0,0
1894550,"NFM, Inc., Kettering, OH Branch (NFM Lending)",3123 Research Blvd.,Kettering,OH,45420,False,0,0,$0,0
1896320,"NFM, Inc., Winston Salem, NC Branch (NFM Lending)",150 Charlois Blvd,Winston Salem,NC,28403,False,0,0,$0,0
1913365,"NFM, Inc., Encinitas, CA Branch (NFM Lending)",607 N. Vulcan Avenue,Encinitas,CA,92024,False,281,20,"$91,244,084",91244084
1919719,"NFM, Inc., Greenwood Village, CO Branch (NFM Lending)",6455 S. Yosemite Street,Greenwood Village,CO,80111,False,0,0,$0,0
1925391,"NFM, Inc., Las Vegas, NV Branch (NFM Lending)",3753 Howard Hughes Parkway,Las Vegas,NV,89169,False,0,1,$0,0
1932194,"NFM, Inc., Denver, CO Branch (NFM Lending)",2630 E. 3rd Avenue,Denver,CO,80206,False,0,0,$0,0
1934380,"NFM, Inc., Hingham, MA Branch (NFM Lending Partners)",99 Derby Street,Hingham,MA,02043,False,106,6,"$56,879,187",56879187
1937240,"NFM, Inc., Baltimore, MD Branch (NFM Lending)",2936 O'Donnell Street,Baltimore,MD,21224,False,0,0,$0,0
1939421,"NFM, Inc., Fayetteville, NC Branch (NFM Lending)",1019 Hay Street,Fayetteville,NC,28305,False,0,0,$0,0
1951309,"NFM, Inc., Clarksville, TN Branch (NFM Lending)",1829 Memorial Drive,Clarksville,TN,37043,False,0,0,$0,0
1952363,"NFM, Inc., Worthington, OH Branch (NFM Lending)",100 W. Old Wilson Bridge Road,Worthington,OH,43085,False,380,10,"$102,383,938",102383938
1959676,"NFM, Inc., Lynnwood, WA Branch (NFM Lending)",3400 188th St. SW,Lynnwood,WA,98037,False,819,24,"$425,030,079",425030079
1962583,"NFM, Inc., Charlotte, NC Branch (NFM Lending)",6865 Fairview Road,Charlotte,NC,28210,False,0,0,$0,0
1967433,"NFM, Inc., Valrico, FL Branch (NFM Lending)",1725 Highway 60 East,Valrico,FL,33594,False,0,0,$0,0
1997177,"NFM, Inc., Shepherd, MI Branch (NFM Lending)",318 W. Wright Avenue,Shepherd,MI,48883,False,0,0,$0,0
2006793,"NFM, Inc., Largo, FL Branch (NFM Lending)",14581 Walsingham Road,Largo,FL,33374,False,0,0,$0,0
2006802,"NFM, Inc., Saint Petersburg, FL Branch (NFM Lending)",1100 4th StreetNorth,Saint Petersburg,FL,33701,False,237,1,"$102,666,050",102666050
2030722,"NFM, Inc., Austin, TX Branch (NFM Lending)",4001 W. Parmer Lane,Austin,TX,78727,False,10,0,"$4,160,295",4160295
2034136,"NFM, Inc., Scottsdale, AZ Branch (NFM Lending)",14500 N Northsight Blvd.,Scottsdale,AZ,85260,False,0,0,$0,0
2042003,"NFM, Inc., Mount Pleasant, SC Branch (NFM Lending)",3662 Zacoma Road,Mount Pleasant,SC,29466,False,0,0,$0,0
2059699,"NFM, Inc., Baltimore, MD Branch (NFM Lending)",6503 York Road,Baltimore,MD,21212,False,0,0,$0,0
